easy,predict,truth
671.975,5443,8
172.636,8280,1429442
21.635,29834,645461
1.005,316292,318019
1.004,1858562,1865487
1.183,1577037,1865632
1.008,456240,459925
6.947,890143,6183914
1.093,831,760
69.284,82802,5736860
1.524,13352148,8760538
7.649,192,25
1.122,43740,49075
1.13,4579574,4053229
120.298,10385,1249306
205.446,2075,10
1.281,940585,1204709
13.922,71,5
6.209,249,40
1.006,739784,744086
1.009,1144,1134
1.038,1427,1481
650.655,17803,11583679
1.008,456240,459925
4.441,10681718,2405343
1.589,2007986,1263574
816.35,101,82533
1.072,9248588,9911754
380590.0,0,38059
1.05,118831,124747
1.01,207827,209880
54.25,191646,10396795
1.021,5299319,5410520
33.008,129356064,3918883
1.176,1898972,2233850
28.065,41401,1161903
1.172,122,104
98.381,41401,4073078
1.089,101385,110402
758.579,11869,9003654
58.959,415400,24491470
4.772,191,912
210038.535,120,25225628
1.061,458424,486554
19355.644,3034,58726960
1.608,156,251
1.007,1370851,1380035
1896.599,74179,140688003
51.517,15170,781513
308.706,20,6205
1.912,218,417
1.068,1412843,1508622
12.137,50566,613746
1.129,2252461,2542342
445.109,14836,6603681
1.004,249039,250045
1.03,9288644,9565151
28.428,64725,1840007
1.007,457119,460185
1.137,4440237,3903659
643.409,14836,9545684
1.311,2744543,2092876
1071.416,1460,1564374
47.121,74179,3495358
18.818,474365974,25208667
43.887,92,4042
1.06,1584002,1679431
13.436,174081584,12956355
453.385,519250,235420417
1.037,483666,501779
17.687,64472,1140346
3.933,1196,304
82.372,131,10799
4.607,240,52
1.004,747116,750135
78.676,256,20149
59.924,785,13
84.05,12,1017
1.118,4884940,4369218
92785.722,74,6875422
1.046,2901867,3036719
69.21,347390,24042786
1.016,766079,753677
68.461,50566,3461792
1.077,994078,1070310
69.837,41401,2891310
8.396,1004,8430
1.279,26704296,20885030
1.004,1083934,1088237
12.706,239430136,18843356
1241241.821,29,36120137
73.273,8280,606708
13.15,55201,725876
1098162.145,95,104435220
37.537,47,1768
3.62,1289,356
1.031,318968,328857
1.179,11869,10066
32.166,276616833,8599606
2.149,1467896,682908
73.746,100,7382
16.632,24525,407892
1.004,249039,250045
64.46,27601,1779158
18.2,61185,1113593
1.422,111,158
100.17,47,4718
1.045,13275002,13867355
205364.743,220,45200780
1.184,313034,370692
49.464,330198,16332927
1.554,54106,84071
1.048,1479376,1549870
35.632,121309819,3404525
1.068,56376,60214
1.921,218,419
25.055,38430,962873
313.476,44507,13951908
1.264,3028771,2395365
1.17,1090425,1276255
10.795,174480272,16162623
1.09,3634751,3963336
56.633,151699,8591229
73.606,41401,3047366
3772.099,30554,8
41.474,253,10497
1.974,1578001,799308
1.016,2813884,2858651
1.044,4128086,3954620
1.02,7144883,7286865
14.673,19318235,1316569
6520.192,506,3299869
1.377,1768857,1284184
1.003,1070526,1073408
9.65,74332,717308
20.373,5057,103028
10.429,1407,14675
17.876,121865,2178416
48.671,2967,144412
19700.034,1011,19918704
85.374,8280,706905
1.318,2760954,2095218
189048.232,251,47470011
12555.487,2528,31741526
4.843,3792,18366
15.86,1022,16211
1.756,120281,68493
13.403,161142353,12023255
52.649,118831,6256317
2.996,77,231
78.065,242,3
36.269,20,729
30.649,322357196,10517565
1132.626,3034,3436502
18352.294,1444,26502548
5.063,64152489,12670688
17.953,124,2228
8.683,476,4134
3018.426,1127,3402068
136.773,27601,3775087
3185.432,25802,8
1.037,12512446,12970088
12.529,118446516,9454081
107.39,1602258,172066782
18.793,479476427,25513922
1.632,1981633,1214334
2.208,1446501,655021
92.22,206816,19072499
68.257,24,1645
2.289,506,221
12459.235,158,1969805
1682283.333,8,13626495
7.298,151699,1107102
1.34,2730644,2038346
159.192,10385,1653223
18.568,16940,314547
65.601,828,54324
1.008,463440,459810
32.281,17803,574703
202.304,549,111085
80.943,9860,798111
1.1,5655376,6223494
1.028,1289224,1325361
5.842,231,1350
20.769,189,9
68.719,151699,10424626
453.385,519250,235420417
20.653,12894,266296
1.385,158,114
20.986,9102,191014
467.505,20701,9677870
1.022,5757743,5884963
76.868,41401,3182402
12519.365,2023,25327927
28.742,1656,47600
712.3,4045,2881323
13.27,381870408,28775972
31.503,28850498,915800
1.574,156,99
1.353,115719,85526
1.424,1498778,1052856
7.183,51,7
110.682,27601,3054936
53629.905,190,10195045
147.045,139,20454
1.018,541059,550776
1.01,207827,209880
35.082,217182,7619149
63.548,197,3
16.076,19721,317035
61.083,145631,8895531
1.046,2901867,3036719
440.539,519250,228749970
11.814,282125974,23879869
64.545,71,1
33.836,206816,6997920
82.247,222536,18302951
19013.557,781,14851489
1.601,2039556,1274246
68.068,162570,11065765
6.96,415400,2891092
1.007,913732,919850
38.718,2275,88088
106.791,186930,19962373
1.076,1606448,1728552
8358.95,220,1839805
1.036,774425,802140
37.481,56831131,1516280
1.002,1016075,1014457
4426.058,5309,23498387
16.231,116555,1891821
282.092,128,36136
96.399,31,2998
1.49,1439967,966214
3025.287,1011,3058868
1.094,5363113,5869026
35.191,25283,889726
7.763,442,3432
6.582,310,47
1.008,456240,459925
1.059,1253947,1328216
348.188,89014,30993623
1.996,108,54
3.313,216,716
1.633,1979807,1212715
22.804,1770,40365
67.442,1517,102317
1.548,26704296,17251286
2.698,119,44
107.839,12642,1363312
71.685,294801,21132814
1.065,56376,60062
1.001,11377,11384
7.607,859,6535
1.083,198555,183341
16.652,30593,509447
223.086,413,92157
1.366,1959314,1434355
17.945,535510183,29842354
50.909,82802,4215337
9.325,437,4076
36.295,6922670,190731
446.806,230,102810
1.064,10534845,11210743
8.785,159,18
4.094,534086,2186508
1.007,456866,459925
332.882,15170,5049856
2.93,1014763,346376
1.014,3644930,3593291
118.265,50566,5980191
21.601,199851313,9251938
1.248,2507614,2008924
8.051,64725,521072
23.011,75849,1745397
1.0,2563259,2563878
1.064,10534845,11210743
19.515,218446,4262997
24.443,59343,1450499
11.929,41401,493879
221.905,466,2
1.088,1997288,2172302
6.578,203,1336
18.719,61944,1159553
14.857,1517,22540
62429.391,279,17424043
1.01,1054812,1044222
39.651,232,9203
25.243,9860,248903
8.271,226,1870
1.461,67,98
1.115,1741333,1942129
52.79,171925,9075987
35.734,680,24303
1.005,3722742,3704871
1.021,110740,113058
14119.828,3034,42840969
5.854,24,4
673.56,474743,319768070
1.39,2058841,1481576
1.009,140574,141906
1.927,164,85
1.137,4131253,3633339
14.961,686,10265
112.524,82802,9317206
1.468,53,36
11.762,309562942,26318177
2.762,1318132,477152
5.556,195,1084
323.605,519250,168031851
1.057,4128086,3905470
1.531,8901432,5813114
133.791,75849,10147956
1.009,281148,283812
1.176,2039556,2399063
8.125,41401,336402
15.802,69781,1102686
1.062,2261513,2402475
98.515,758,74684
1.601,2039556,1274246
9066.249,150,1360844
35.093,5934,208245
32.894,188579322,5732968
124.378,12642,1572398
81.599,194680,15885756
178.523,2528,451325
1046.821,74179,77652247
1.556,17802864,11438172
48.25,324888,15675762
111318.587,1517,168881428
151.392,122,18485
21.906,215,4712
36287.596,81,2942924
52.072,1129,58794
6.641,13,87
23072.306,957,22082504
16064.283,161,2587956
1.022,5757743,5884963
79.839,9355,746904
6585.854,5057,33305320
1.53,1407847,920332
1023.415,4,4196
1.018,3283921,3224947
11.799,200,2361
1.241,95,118
46005.387,1011,46516047
254293.494,137,34863638
85.204,76,6484
1.055,41717,39560
1.087,6944601,7548855
18.985,32868,623985
795.978,74179,59044942
17.13,48544,831541
19.815,138551,2745381
20.304,15928,323411
17.252,2275,39250
1.934,56376,109034
1.141,4281447,3751112
1.002,852800,854105
56.489,82802,4677399
1.009,421722,425718
81.123,236144,19156686
1.851,3033974,1639327
1.036,774425,802140
1.02,3554639,3624977
16.601,79642,1322175
1.277,91981,117453
243.946,62102,15149568
208.209,5520,1149334
1.049,1304701,1368866
733.443,296714,217622900
1.111,1033998,1148867
1.007,1523628,1533909
2.135,758494,355261
1.281,448,574
1.135,4529811,3991642
9395.187,1011,9499474
1.012,538524,544750
17.494,719,41
11.952,279045204,23347072
10.38,2781,28869
5.413,190,35
1.057,12058473,12744652
1631612.435,27,44216697
38.65,148357,5733954
18.54,122876,2278118
7.617,2967144,389523
229.177,14836,3400088
1.098,4800839,5270569
174.104,25,4370
206.837,178029,36822949
1.081,40453,37411
2.018,97916,197585
1215746.067,169,205582660
1.03,55370,53770
8.882,26547,235798
37.568,28255,752
19158.888,3034,58129981
7.3,151699,1107420
1.792,102,183
1765.592,12642,22320792
764393.626,9,6955982
1.003,747622,749931
26.264,239,9
19.428,198472,3855828
16.058,415400,6670447
187.702,224,42064
5422.683,127,689223
1.158,4731578,4087742
53.902,221,4
27.887,198,7
1.811,1677670,926294
1.017,4840895,4923966
1.538,251983,163809
436056.686,88,38416594
22.273,17698,394183
1.176,749204,881174
1.135,691158,784413
6.614,1011,6687
141560.645,172,24362587
1.211,380933,461350
1.356,2383659,1757686
7.562,55117,416802
18.204,23737,432112
13.562,17193,233176
22.575,477011811,21129717
6.275,82802,519616
2.583,101,39
1.03,2031010,2091068
2.95,288,850
12.202,127680,1557971
1.049,300311,286401
15.981,188,3006
54.676,33374,1824747
17.556,578640952,32958836
63248.206,253,16008121
1.024,181533,185884
1.003,1433553,1438183
23.591,1264,29821
1.182,227,192
90.566,74179,6718081
10.537,30845,325020
2459.199,5057,12436415
56.714,11869,673142
33.252,97352308,2927756
2.008,17803,35750
7.137,1007,141
16600.0,34860,2
21.225,5815,123428
9.956,13173,1323
1.063,7809523,8301049
1.012,44498,45023
14.963,175,2620
16.862,208,3509
1.893,253,479
1.043,731339,762597
5.74,27601,158426
11.942,318225340,26647310
1.092,1657058,1810273
15047.41,1011,15214436
38.431,28064,1078518
104.839,11040,1157438
462516.883,23,10684140
72.997,95317,6957869
620.825,13800,8567448
1.095,1997810,2188054
16.658,12069367,724521
1.148,2030946,2331492
1.161,338254,291247
31.619,339210815,10728038
13.191,34577104,2621317
19.116,62449,1193774
20.522,132,2711
29.483,32868,969058
2.804,1284474,458080
1.038,636452,660923
109.856,9898,90
1.03,9288644,9565151
1.005,949128,954317
1.54,2018944,1311407
1.041,6251772,6504982
5.402,36,195
23.269,16940,394184
5.559,341222,1896897
24014.961,90,2163748
1.279,26704296,20885030
31.938,1059,33826
1.191,18962,22593
32.995,167231403,5068325
1.1,5655376,6223494
22.978,2210905,96220
19.942,79642,1588200
1.061,1516421,1609243
1060080.0,89,94453128
2.607,1464504,561678
1923.852,239,459993
31.311,111197647,3551412
26.037,252,6564
10.703,147804435,13809718
69.357,372673,25847549
193.807,25283,4900031
1.02,1155322,1178729
13.14,159,12
81.757,43234,3534689
107.51,25283,2718195
88.266,27601,2436252
59.234,41401,2452333
69.237,50566,3501042
1.602,3033974,4859095
164.366,253,41601
1.13,955420,1079219
52.178,91778,4788841
202.047,519250,104913005
5.225,890143,4651086
5.688,258,1468
14712.934,2023,29765737
64.887,41401,2686400
11.153,71,793
13.089,121527285,9284360
1.17,22253580,19020418
1.013,637387,645987
6207.356,74179,460456073
69.237,50566,3501042
211.259,96,20302
260566.796,18,4716259
12.308,1072,87
215.92,133521,28829904
261.672,12642,3308085
5.268,890143,4689588
2.067,251983,121921
1.426,90,63
17.084,54864,937298
6.162,3312,20409
7.306,236,1725
5.061,375,74
176.752,744,131521
129.079,1301,167945
50.488,207,4
1.018,595349,605933
1.02,5713236,5829428
16.3,904585,55497
1.226,117202,143694
30.986,7611312,245636
2802.621,72,202069
52.865,82802,4377332
432.973,1011,437779
1.026,70287,72126
15.44,504593757,32681903
664.961,29671,19730120
15.342,890143,13656904
54.708,363824,19904143
1.095,107959,118234
20550.328,204,4194322
1.073,1299609,1394915
81242.473,386,31367719
31.653,353744797,11175812
1.648,1407847,854176
69.997,74179,5192341
1.123,15170,13506
341.218,24943,73
14.115,24392444,1728115
2.2,2967,6527
1.886,445072,839227
13.46,155560724,11557165
1.601,80113,128275
3.314,113,34
107.177,25283,2709766
18.732,61944,1160355
7120.491,285,2030052
1.043,29581,30850
4.498,194,873
1.072,8790164,9425200
1.186,209,248
1218.93,74179,90419130
58.519,191393,11200155
1.068,6406064,6842112
36.345,133242,4842672
520623.239,78,40660675
1.133,744385,843673
16.058,415400,6670447
1.7,13653,8031
14.192,1770,25122
3.43,12462005,3633744
1.09,7585,8268
1.074,1384665,1487664
5.41,6,33
21.156,17951,379775
3.145,318,101
1.059,2156557,2284262
22.409,64978,1456124
85.455,94,1
12.901,232072535,17988079
468416.933,40,18783519
4154.473,2528,10502924
196596.545,208,40911741
1.601,2039556,1274246
1.174,120,141
16.214,80653,1307690
3.118,446,1391
309.669,20701,6410482
13.472,181027,2438707
1.071,5383883,5765094
1.025,1602258,1641804
18.164,7332,133181
5.695,2781,15839
1.054,13315059,14033580
608.122,356057,216526178
151.829,41401,6285889
1.026,1256585,1288928
1.199,175,210
77.039,164593,12680066
20.756,9608,199426
1.189,1484,1765
13.256,36155,479261
12.089,300,3628
14.238,215,15
1.038,2005006,2081986
153516.68,227,34863638
1.124,1812925,2038459
138772.879,77,10699389
228.355,552,126075
1.115,228470,204857
1.014,919979,932758
17.556,758,13309
172.328,75849,13070907
2.868,353,123
1.214,3563500,2934819
68391.775,183,12522534
7.767,341222,2650164
1.058,183050,172987
87.768,244235,21436126
1.009,140574,141906
16.687,19308,1157
3.43,8308003,2422496
673.56,474743,319768070
1.263,2008756,2536243
8.667,219,1899
1.484,200,297
764.972,35606,27237673
1014.415,74179,75248403
26730.616,21,564016
1.064,1156317,1230707
333.041,14836,4941031
1.105,1711855,1892171
795117.636,79,62893805
3937.404,253,996557
1.119,4830652,4315217
19.038,62449,1188901
2.29,51,117
11.806,110234,1301439
18.002,122,2198
19.453,37672,732838
110.419,82802,9142911
1.005,316292,318019
1.199,102366,122740
1.003,315028,316088
82.148,107,8798
1526773.959,155,236802641
1.103,4901678,4442397
2.141,98,210
1.108,1711855,1897478
1142.825,1484,1696067
1.128,792227,893694
1.001,636376,637077
3.431,8308003,2421614
4.688,62310,13292
1.188,1117490,1327562
1.586,1011325,1603946
505.039,29671,14985068
650.127,20701,13458336
1.03,2483500,2556956
70.545,8091,570785
1.15,4092347,3557418
349.162,563757,196842528
4.392,242,55
29.105,7079,206036
10293.667,253,2605327
2922.951,253,739799
13.249,237372,3145055
1.326,2842385,2144381
1.697,337,572
2.659,65277,173590
4.945,43964389,8890212
15.654,71,1113
1.021,3553999,3479555
60.5,175718,10630939
76.608,3034,232435
14.49,8596,124554
330.058,103850,34276555
84.2,262944,22139904
1.021,8606201,8786582
26.501,3287,87111
1.903,1644795,864467
1.14,271089,309011
44.622,7501,168
16.776,29834,500510
215.285,552,118859
1.007,456866,459925
1681.521,203,341517
9.94,329,33
5.231,18955792,3623713
1.118,1749943,1956340
1.4,1837620,1312996
238.39,139,33160
4394408.9,49,215765477
1.06,2172391,2302439
1.881,26704,50243
1.009,140574,141906
38.815,60201855,1550980
5.063,64152489,12670688
184.554,24195,131
87.721,27811,2439614
605.53,182,110267
7.377,59,436
16.532,41401,684437
89.674,15676,1405746
1234.69,207700,256445298
264.814,178029,47144540
130419.776,201,26227417
1.032,1338182,1296632
76.35,161559,12335097
16.802,68244,1146655
1.713,228,133
1.735,1736897,1000828
12.25,3540,43367
1.153,517912,596931
15.084,3697,245
1.185,3892389,3284099
6260.112,143,895822
1.851,102,55
180.563,1282,7
74.902,14836,1111248
6643.12,2528,16794472
1.227,3482069,2837933
20.437,89755,1834331
4072.067,1451,5908976
15148.297,78,1183082
3841.27,506,1944067
3.544,252,71
1.011,496308,501777
1.032,45510,46946
2834.144,29671,84092182
5649.705,105,593784
2.38,2022650,849994
1.13,919979,1039994
4.647,415400,1930446
1.033,43487,44913
251.961,1285,5
1.082,1611424,1742883
8.748,55,482
1.21,3674788,3036632
312.401,22502,7029683
18.822,217182,4087742
1.05,679939,714122
11962.957,168,2010973
5.48,21304094,116752311
56.366,135518,7638666
1.002,1552636,1555864
4.936,37150453,7526477
1.403,387212,543367
1191.971,148357,176837345
186540.94,85,15874634
18.03,38573,695463
1.105,4502641,4974252
16.721,102,6
12432.055,160,1990372
152.269,75849,11549497
1.064,1891003,2011547
1.03,541655,558046
60.618,125657,7617123
1.009,1233058,1221534
5.638,90,508
1.027,253,260
34.571,75569457,2185930
1.11,6068,6738
1.591,1005217,631788
2.632,93,245
846.114,4045,3422616
51926.945,67,3484298
1.064,562274,598457
2.256,927,2092
64.084,538025,34478802
51439.012,836,43008158
1.234,12642,15602
1.513,253,383
8.377,160,19
4751.331,253,1202562
1.323,2250655,1700546
1.026,1256585,1288928
2.729,8901,24291
8.559,682443,5841227
1084671.955,93,100982959
6.439,506,3259
8.108,178,1444
243.191,924,224733
1.291,820415,1058826
1.206,3580691,2970038
9.756,40,4
1.664,105,63
55575.039,114,6341112
313.177,11869,3717130
52492.302,826,43363891
2.448,24,59
3.884,1224,4754
1.746,312,545
204.967,1101,225689
223561.938,132,29532532
1.099,41540,37786
1.011,84,83
1.002,554459,555560
2.951,913,2695
1.012,445236,440029
18.738,173189,3245297
1.276,17802864,13954696
69.595,366100,25478848
22.061,383791359,17396561
1.04,501214,521248
4.488,758494,169002
2187130.373,16,35212799
2.229,2967,6614
13.844,21806,1575
20.465,200,4095
138.077,13800,1905477
36.896,16560,611002
7.3,50566,369140
1.602,3033974,4859095
159494.211,140,22345139
46.502,809,37625
1.261,3148436,2497159
32.772,26352,804
1.127,4637481,4115899
1.471,321199,472545
39.705,2355882,59335
10807.442,2023,21864536
1.258,3385709,2691468
1.057,7364451,7782788
2.412,3539637,1467552
25.447,9860,250907
2057.072,18,37233
81.694,285,23291
16.252,556966834,34271335
115.321,2275,262367
1.025,8039477,7839618
18.205,101132,1841131
9.573,73574,704352
1.06,1542778,1635500
1.021,489481,499560
1.005,771330,767507
6.262,10390,1659
1860.083,121,225256
6.9,394,57
79632.12,90,7174854
13.917,63966,890226
5.126,47951267,9354131
12940.769,2528,32715558
1.057,96076,90852
1.015,118976,120820
790.645,5057,3998373
30.049,8280,248805
1.155,48038,55491
27.889,88,2457
406.861,133521,54324538
785388.454,73,57411896
16.299,15676,255501
1.0,711467,711179
112.761,55201,6224554
74.762,2,157
10.307,231,2382
63907.235,3034,193900941
19.951,13147,262299
281.197,1380,388080
175441.228,228,40018144
74.502,420458,31325102
38.33,615,23577
1.41,148357,209223
13494.373,39,527630
3.141,225,707
836.595,74179,62057886
100539.343,670,67371414
1.119,4764151,4256103
16.902,23513,397408
1.005,632584,636038
1.005,316292,318019
76.868,41401,3182402
834.013,89014,74238946
48.002,123887,5946777
64.225,549149,35269066
80.734,353964,28576783
4.111,1205,293
16.994,2275,38662
66461.286,479,31841602
162.421,370893,60240879
953691.405,185,176528279
18.181,55876,1015880
32254.822,171,5518800
1.448,914,631
1.132,9608,8491
2.226,452,203
1.787,111,62
1.072,8790164,9425200
414667.018,131,54362846
23.779,106,2523
38.183,28570,1090880
20.718,101891,2110944
1.201,11377,9474
2.18,1568347,719447
3.004,198,595
1.351,2231655,1652330
1.025,198,193
15430.0,16973,1
1.061,535569,568187
18.017,48796,879143
1244.483,20701,25762173
18.479,106442,1966899
3564.568,28873,8
1.138,4129896,3627895
75.286,1264,95169
6.027,51,308
3.617,276007,76310
1.071,1185270,1269001
13.135,167121,2195109
63.754,515776,32882810
112.048,27601,3092652
60.924,430066,26201305
14.07,72053756,5120969
85.749,241,20674
66.027,151699,10016244
22.364,57393,1283560
17.473,108717,1899630
25.844,55623,1437506
1.146,271888,311486
63907.235,3034,193900941
17.022,88238,1501996
1.371,3560573,4882203
1.004,678093,675690
187.511,26800,5025323
19.124,62449,1194251
2.155,19286,41567
2102920.876,33,69606681
162.163,12642,2050084
1.025,3553999,3468321
9.616,74332,714785
24.972,452,18
19.513,144766,7419
27.261,342001630,12545668
2911.405,91,265229
1.071,1845311,1976144
12.95,114024706,8805237
1.285,180996,232615
1.018,306179,300646
200.882,27340,136
1.002,310224,309714
113502.805,191,21690386
1.16,526261,610248
14.986,526,35
1.013,922327,934606
1.284,8901432,6930334
16.889,28823,486792
241.236,59343,14315664
1.037,12512446,12970088
22.97,232,10
131.35,5057,664248
38.175,27795,728
15.342,890143,13656904
109707.562,614,67371414
112.048,27601,3092652
1.145,4423499,3862062
13.45,91009548,6766428
92420.46,241,22282573
5.231,96228733,18394920
6.717,941,140
1.051,785087,825245
15990.2,506,8092640
1.009,425249,421411
1.004,559515,557493
56857.103,207,11775106
1.058,4848313,5131044
1.378,1959314,1421831
19.067,7332,139798
31.732,217574797,6856729
4.687,1516987,323646
20.547,181,3721
8864471.463,4,36344333
14.676,904585,61638
8.628,40,346
16.937,26704,452274
12995.044,618,8032237
72.927,299,4
4036.762,2023,8166774
18.716,482738418,25792602
11769.12,2528,29753513
1.03,2886720,2973501
1.032,210861,217611
31.206,142875204,4578495
1.266,3341827,2638754
146.293,1656,242276
138.949,103850,14429899
112.761,55201,6224554
663.376,14836,9841918
12.282,133748,1642677
851.305,1011,860754
51.916,6287,121
19.956,426958372,21394550
20.588,99110,2040494
1.301,2793855,2147137
3452.716,27967,8
3.699,741786,2743720
42.514,239,10165
1.153,176545,203472
1.007,790856,796638
1.074,148357,159375
1.0,585849,585956
228.25,12642,2885565
663688.181,217,144086704
440.539,519250,228749970
9.756,40,4
1.015,16687,16437
5.053,62811448,12429921
8.863,43,382
8.857,188,1666
15.231,490313486,32192204
907.867,32774,36
84.953,2727,32
15.601,390931494,25058064
395.937,183,72496
1.005,115797,115244
323.208,519250,167825532
7.991,415400,3319446
1.117,981293,1095876
1.01,1286257,1298989
16.655,90261,1503330
1.098,4800839,5270569
7.588,236,31
11.663,19721,230000
1.07,240190,256906
17.225,68264,1175842
45.927,132,6067
12.046,264619956,21968141
5352.444,74179,397039513
1.1,917892,1009943
47.149,50566,2384164
7.871,1770,13933
15.726,522099775,33198887
3.333,107,32
142.08,35,4987
32.891,154509638,4697625
46.697,253,11819
374.806,563757,211299809
1.054,13315059,14033580
14.103,47770045,3387165
1.033,669542,691313
18.032,58404,1053171
273.063,123,33614
49449.166,920,45498178
1.016,8849,8710
22.521,4484,199
76.663,27601,2115982
121127.83,34,4130459
1.257,30087,23926
42.716,346,8
1.39,519250,373463
508.471,7418,3771887
59.77,552,32999
14.785,25003,1691
1.087,6944601,7548855
60.466,27601,1668934
133.198,701,93385
1.138,4459238,3918818
1.088,44,48
158.75,519250,82431085
1.028,8726371,8966694
1.223,3530023,2887159
1.266,147,116
1.01,1286257,1298989
1.122,4694935,4183832
1.061,2172391,2304137
1.601,2039556,1274246
532.087,112,59647
1.46,1484754,1016985
45.303,1770,80191
332341.608,82,27285246
1.218,3652621,2999284
53.636,59,1
12.189,38573,470176
45.637,11140,244
106.095,57,6058
2.536,1780286,4514695
16.283,12894,209952
2.905,235,683
4.24,1241945,292877
1.14,1797429,2049277
1.039,419700,436028
1.107,1711855,1894433
16.137,50566,815982
18.559,25789,478615
5162.974,125,645888
615.816,20701,12748068
16.631,80906,1345582
1166.309,506,590269
74.045,3034,224661
13401.0,242,3244382
1.217,1517,1846
1.164,492082,572864
116.049,173,20088
13658.182,15024,1
2.601,289,111
1.672,251,150
1.1,2252461,2477806
9.338,141,15
20.726,21996,455885
1.129,2885548,3258073
22.86,4045,92470
1.604,19286,30944
32.492,212464345,6538943
6.9,1656,11427
16.195,14159,229302
1.079,10366,9608
1.011,2609855,2637639
1.093,283612,259517
11.672,305032399,26132664
192.727,212,1
96.334,82802,7976680
13416.551,2528,33918382
1.07,1096148,1172924
20.385,18962,386537
1.055,854537,810196
16.494,19215,316941
2.183,319,146
15.894,12389,196918
2.379,3033974,1275343
27.193,162,4408
18.32,163,2988
1.249,28188,35217
13.787,391,5392
16.743,77619,1299567
42.252,8280,349848
1.047,2737190,2867173
23.963,3312,79368
1.419,181,257
8108.38,2528,20498796
1.101,1673234,1843035
326061.718,1043,340114978
19634.868,148,2907924
67.779,2210905,32619
5.287,20921,3957
8.16,133521,1089523
1.028,1289224,1325361
1.384,2167867,1566319
332.883,30340,10099712
4751.113,246,1169249
2.086,786,1640
22.369,4045,90483
32.364,231528869,7153849
2.658,1318132,495944
11.024,160344978,14545301
13.976,80208733,5738996
1.328,36,27
1.038,636452,660923
1.135,1719460,1950840
54622.384,54,2955071
1.069,26042,27850
59.65,1656,98786
11.827,281618553,23811837
1.008,1660595,1674098
1.072,1359893,1457490
2.261,215,95
19.778,8280,163764
54.982,17803,978849
21.137,18457,390124
2.605,203,529
1230.539,1484,1826243
1453.541,2528,3674698
79.524,167,2
1.486,253,376
986.526,47474,46834449
11.184,133521,1493267
254659.599,107,27274043
56.251,392,22056
519.43,25504,49
1.356,49049,66520
1.034,12190511,12601870
66.078,234122,15470369
3.21,146,469
37.911,4140,156957
3.49,151699,529484
1.601,2039556,1274246
29.37,11815656,402307
22.04,5057,111460
1.045,2575481,2691416
14.986,318,4767
2995.946,1011,3029201
1.133,31155,35292
19.423,22249,432144
1.019,284656,279371
45.559,212,9663
17309.156,1011,17501288
1.368,2383659,1742119
1.004,1241401,1236795
